التاريخ,المنتج,الفئة,المدينة,الكمية,سعر_الوحدة,إجمالي_المبيعات,طريقة_الدفع,تقييم_العميل
2024-01-05,لابتوب ديل XPS,إلكترونيات,القاهرة,2,25000,50000,بطاقة ائتمان,5
2024-01-08,شاشة سامسونج 27 بوصة,إلكترونيات,الإسكندرية,5,6500,32500,فودافون كاش,4
2024-01-12,كرسي مريح طبي,أثاث مكتبي,الجيزة,3,3800,11400,دفع عند الاستلام,5
2024-01-15,ماكينة قهوة ديلونجي,أجهزة منزلية,القاهرة,4,7200,28800,بطاقة ائتمان,5
2024-01-18,مكتب خشبي ذكي,أثاث مكتبي,المنصورة,1,8500,8500,تحويل بنكي,4
2024-01-22,سماعات سوني عازلة للضوضاء,إلكترونيات,الإسكندرية,6,4200,25200,فودافون كاش,5
2024-02-02,لابتوب لينوفو ليجن,إلكترونيات,القاهرة,3,28000,84000,تحويل بنكي,5
2024-02-05,طابعة إبسون تانك,إلكترونيات,طنطا,2,5500,11000,دفع عند الاستلام,3
2024-02-10,كرسي ألعاب احترافي,أثاث مكتبي,القاهرة,4,4900,19600,بطاقة ائتمان,4
2024-02-14,قلاية هوائية فيليبس,أجهزة منزلية,الإسكندرية,5,5100,25500,بطاقة ائتمان,5
2024-02-20,لوحة مفاتيح ميكانيكية,إلكترونيات,الجيزة,8,1200,9600,فودافون كاش,4
2024-02-25,مصباح مكتبي ذكي,أثاث مكتبي,القاهرة,10,650,6500,دفع عند الاستلام,4
2024-03-01,ميكروويف إل جي,أجهزة منزلية,المنصورة,3,6800,20400,بطاقة ائتمان,4
2024-03-05,شاشة إل جي أوليد,إلكترونيات,القاهرة,2,32000,64000,تحويل بنكي,5
2024-03-12,لابتوب ماك بوك إير,إلكترونيات,الإسكندرية,2,36000,72000,بطاقة ائتمان,5
